player_id,ht,wt,forty,shuttle,cone,vertical,broad_jump
00-0034973,77.0,255.0,4.66,4.13,6.89,36.0,122.0
00-0036989,74.0,250.0,,,,,
00-0036479,75.0,265.0,4.52,,,35.3,118.0
00-0036901,72.0,190.0,4.31,4.36,6.96,38.5,128.0
00-0038360,76.0,240.0,5.06,4.46,,30.0,114.0
00-0040228,74.0,235.0,,,,,
00-0037382,74.0,186.0,,,,,
00-0040889,,179.0,,,,,
00-0040996,,220.0,,,,,
00-0041022,,183.0,,,,,
00-0037074,76.0,240.0,4.52,,,32.0,122.0
00-0038563,68.0,185.0,4.4,,,37.5,124.0
00-0040199,74.0,325.0,5.15,,,27.5,
00-0040883,,192.0,,,,,
00-0040997,,225.0,,,,,
00-0041005,,214.0,,,,,
00-0036604,74.0,300.0,,,,,
00-0039244,70.0,195.0,,,,,
00-0040150,76.0,310.0,,,,,
00-0037461,75.0,195.0,,,,,
00-0036293,75.0,212.0,4.45,,,41.0,138.0
00-0039066,76.0,265.0,4.7,,,32.5,118.0
00-0040151,76.0,300.0,,,,,
00-0040169,74.0,285.0,,4.48,7.36,32.0,112.0
MEN516487,77.0,225.0,,,,,
00-0038891,73.0,202.0,,,,,
00-0040871,,312.0,,,,,
00-0040878,,223.0,,,,,
00-0040894,,189.0,,,,,
00-0040902,,307.0,,,,,
00-0041003,,311.0,,,,,
00-0040489,69.0,170.0,,,,,
00-0037304,72.0,230.0,4.72,,,32.5,
00-0039836,76.0,264.0,4.69,,,33.5,114.0
00-0040729,73.0,215.0,,4.21,6.84,34.5,125.0
00-0040122,68.0,215.0,,,,,
00-0039349,76.0,305.0,,,,,
00-0040762,78.0,347.0,,,,,
00-0041000,,198.0,,,,,
00-0041007,,319.0,,,,,
00-0041009,,230.0,,,,,
00-0041014,,287.0,,,,,
00-0036644,75.0,236.0,,,,,
00-0033381,77.0,300.0,,,,,
00-0035317,77.0,314.0,5.32,4.75,8.07,36.0,109.0
00-0037829,76.0,300.0,5.19,4.73,,27.5,105.0
00-0037291,72.0,191.0,4.5,4.28,7.03,38.0,128.0
00-0038579,75.0,210.0,,,,,
00-0038590,76.0,228.0,4.55,,,35.5,126.0
00-0038923,80.0,331.0,,,,24.5,102.0
00-0039338,75.0,230.0,,,,,
00-0039357,74.0,195.0,4.34,,,35.0,128.0
00-0040868,,190.0,,,,,
00-0032208,70.0,192.0,4.33,4.11,6.7,37.0,122.0
00-0034376,71.0,192.0,4.5,4.28,7.03,33.0,118.0
00-0036423,77.0,255.0,4.49,,,,
00-0037262,75.0,310.0,4.94,4.41,7.33,,110.0
00-0037615,71.0,225.0,,,,,
00-0037825,74.0,305.0,,,,,
00-0039735,75.0,320.0,,,,32.0,104.0
00-0039676,73.0,200.0,,,,,
00-0040487,75.0,290.0,,,,,
00-0041010,,205.0,,,,,
00-0040604,74.0,252.0,,,,,
00-0037512,75.0,205.0,,,,,
00-0029604,75.0,202.0,4.84,4.5,7.05,28.5,109.0
00-0034365,75.0,260.0,4.74,4.2,7.15,36.0,123.0
00-0035269,72.0,232.0,,,,,
00-0035841,73.0,329.0,5.26,5.27,8.21,26.5,
00-0039374,74.0,239.0,,4.24,,32.5,116.0
00-0040641,74.0,200.0,4.3,4.04,6.71,36.5,131.0
00-0037093,74.0,210.0,,,,,
00-0038586,75.0,339.0,,,,,
00-0040998,,207.0,,,,,
00-0040999,,310.0,,,,,
00-0041002,,198.0,,,,,
00-0041008,,228.0,,,,,
00-0041011,,205.0,,,,,
00-0041016,,249.0,,,,,
00-0035190,76.0,220.0,,,,,
00-0039423,77.0,289.0,,,,,
00-0039544,76.0,310.0,,,,,
00-0040488,76.0,235.0,,,,,
00-0034759,80.0,325.0,4.95,4.49,7.34,31.5,121.0
00-0040581,77.0,205.0,4.3,,,33.0,126.0
00-0039407,69.0,208.0,,,,,
00-0041004,,209.0,,,,,
00-0041006,,252.0,,,,,
00-0041017,,310.0,,,,,
00-0041018,,195.0,,,,,
00-0037527,74.0,220.0,,,,,
