player_id,player_name,position,scheme_experience
00-0038586,Atonio Mafi,OL,partial
00-0040150,Caleb Rogers,OL,yes
00-0040151,Charles Grant,OL,yes
00-0039349,DJ Glaze,OL,yes
00-0038923,Dalton Wagner,OL,yes
JAT415291,Isaiah Jatta,OL,partial
00-0039735,Jackson Powers-Johnson,OL,yes
00-0036604,Jordan Meredith,OL,yes
PIC776223,Justin Pickett,OL,partial
MIS655235,Kamar Missouri,OL,partial
00-0034759,Kolton Miller,OL,yes
HEN583744,Niklas Henning,OL,partial
00-0037829,Spencer Burford,OL,yes
ZUH415291,Trey Zuhn III,OL,partial
00-0037825,Tyler Linderbaum,OL,no
00-0039544,Will Putnam,OL,yes
00-0038579,Aidan O'Connell,QB,yes
MEN516487,Fernando Mendoza,QB,partial
CLA362740,Jacob Clark,QB,partial
00-0029604,Kirk Cousins,QB,yes
00-0040122,Ashton Jeanty,RB,yes
00-0039244,Chris Collier,RB,yes
00-0037304,Connor Heyward,RB,no
00-0039407,Dylan Laube,RB,yes
WAS797326,Mike Washington Jr.,RB,partial
HEM079286,Roman Hemby,RB,partial
00-0036423,Albert Okwuegbunam,TE,partial
00-0039338,Brock Bowers,TE,yes
00-0040488,Carter Runyon,TE,yes
00-0034365,Ian Thomas,TE,partial
00-0038590,Justin Shorter,TE,yes
00-0039066,Michael Mayer,TE,yes
GUR131030,Patrick Gurd,TE,partial
ROB111721,Chase Roberts,WR,partial
RUC514959,Corey Rucker,WR,partial
00-0037093,Dareke Young,WR,yes
00-0040581,Dont'e Thornton Jr.,WR,yes
WIL577959,E.J. Williams Jr.,WR,partial
00-0040729,Jack Bech,WR,yes
00-0037291,Jalen Nailor,WR,yes
BRA342173,Jonathan Brady,WR,partial
BEN601117,Malik Benson,WR,partial
00-0032208,Phillip Dorsett,WR,yes
00-0038891,Shedrick Jackson,WR,yes
00-0038563,Tre Tucker,WR,yes
